track_id,gt_family,cluster_id,side,center_lat,center_lon,n_beams,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ClusterTemporalSpanYears,ValidRegression,U_position_m,U_NSM_m,U_EPR_myr,first_date,last_date,initial_cycles,used_cycles
1181,gt3,R,R,70.32305398186637,-161.02588789328075,6,-38.0,290.0,-9.04,3.04,0.0,128.71,104.43,1544.0,4.23,True,4.8,6.79,1.61,2019-12-13 00:00:00,2024-03-05 00:00:00,6,6
1189,gt2,L,L,70.24058376445295,-161.51320416614237,1,,,,,,,,,,False,4.8,,,2019-12-13 00:00:00,2019-12-13 00:00:00,1,1
1189,gt2,R,R,70.24074801720799,-161.5155406344592,1,,,,,,,,,,False,4.8,,,2019-12-13 00:00:00,2019-12-13 00:00:00,1,1
1189,gt3,L,L,70.24419101751764,-161.59834321869386,1,,,,,,,,,,False,4.8,,,2019-12-13 00:00:00,2019-12-13 00:00:00,1,1
1189,gt3,R,R,70.24428457955754,-161.60072863524957,1,,,,,,,,,,False,4.8,,,2019-12-13 00:00:00,2019-12-13 00:00:00,1,1
1219,gt1,L,L,70.49339959842273,-149.91237796159072,14,-29.0,88.0,-4.85,-7.77,0.35,21.04,6.61,2180.0,5.97,True,4.8,6.79,1.14,2019-12-15 00:00:00,2025-12-03 00:00:00,14,14
1219,gt1,R,R,70.49356963297949,-149.91470679459806,14,-52.0,386.0,-10.46,-0.16,0.0,160.59,57.37,1817.0,4.97,True,4.8,6.79,1.36,2019-12-15 00:00:00,2024-12-05 00:00:00,14,14
1219,gt2,L,L,70.45965875794252,-150.01274551961023,15,-9.0,46.0,-1.49,-2.01,0.08,13.78,3.98,2271.0,6.22,True,4.8,6.79,1.09,2019-09-15 00:00:00,2025-12-03 00:00:00,15,15
1219,gt2,R,R,70.4597867447928,-150.01510384735917,15,-29.0,84.0,-4.82,-4.28,0.16,20.1,5.89,2180.0,5.97,True,4.8,6.79,1.14,2019-09-15 00:00:00,2025-09-03 00:00:00,15,15
1226,gt2,L,L,70.07374808182979,-143.88723101888797,12,-127.0,160.0,-22.15,-14.38,0.25,49.82,17.63,2089.0,5.72,True,4.8,6.79,1.19,2019-12-16 00:00:00,2025-09-04 00:00:00,12,12
1226,gt2,R,R,70.07389916734346,-143.8849694285984,13,-141.0,149.0,-24.69,-6.65,0.06,56.18,18.0,2089.0,5.72,True,4.8,6.79,1.19,2019-12-16 00:00:00,2025-09-04 00:00:00,13,13
1234,gt1,L,L,70.0297521802664,-144.37865979194717,12,14.0,42.0,2.15,0.38,0.0,12.73,4.27,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,12,12
1234,gt1,R,R,70.02992366258411,-144.38092123399508,10,-6.0,39.0,-1.01,1.1,0.02,14.64,5.84,2180.0,5.97,True,4.8,6.79,1.14,2019-12-16 00:00:00,2025-12-04 00:00:00,10,10
1234,gt2,L,L,70.01683508187746,-144.4691899294316,13,29.0,99.0,4.43,-1.49,0.01,25.47,8.11,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,13,13
1234,gt2,R,R,70.01688294108284,-144.47148704033413,13,50.0,96.0,7.71,5.85,0.11,34.58,11.01,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,13,13
1242,gt1,L,L,70.26726166104041,-161.9587470181473,14,-15.0,142.0,-2.32,4.95,0.09,33.39,9.92,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,14,14
1242,gt1,R,R,70.26729569963621,-161.95636395783373,15,43.0,253.0,6.68,10.51,0.13,54.68,16.06,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,15,15
1250,gt3,L,L,70.0143672475689,-162.4608881213593,14,8.0,322.0,1.18,-13.97,0.05,121.49,37.72,2361.0,6.46,True,4.8,6.79,1.05,2019-06-19 00:00:00,2025-12-05 00:00:00,14,14
1250,gt3,R,R,70.01444428621333,-162.4631900033969,16,-9.0,145.0,-1.32,-7.52,0.14,38.47,10.86,2361.0,6.46,True,4.8,6.79,1.05,2019-06-19 00:00:00,2025-12-05 00:00:00,16,16
1257,gt2,L,L,71.33379833306464,-156.57770016584703,13,23.0,84.0,3.56,1.45,0.02,25.04,7.43,2361.0,6.46,True,4.8,6.79,1.05,2019-06-19 00:00:00,2025-12-05 00:00:00,13,13
1257,gt2,R,R,71.33391740980758,-156.5750750034458,13,21.0,142.0,3.58,-1.94,0.01,41.34,13.23,2179.0,5.97,True,4.8,6.79,1.14,2019-12-18 00:00:00,2025-12-05 00:00:00,13,13
1265,gt1,L,L,71.24115088869581,-156.10314409681902,1,,,,,,,,,,False,4.8,,,2021-09-14 00:00:00,2021-09-14 00:00:00,1,1
1265,gt1,R,R,71.2413425540354,-156.10556328206405,9,-8.0,146.0,-1.31,6.3,0.06,53.17,23.32,2180.0,5.97,True,4.8,6.79,1.14,2019-12-18 00:00:00,2025-12-06 00:00:00,9,9
1265,gt2,L,L,71.25476314313978,-156.18874978160204,12,-23.0,38.0,-3.49,-4.69,0.79,5.55,1.68,2361.0,6.46,True,4.8,6.79,1.05,2019-06-20 00:00:00,2025-12-06 00:00:00,12,12
1265,gt2,R,R,71.25489013614205,-156.1912249476731,13,-28.0,38.0,-4.27,-4.65,0.72,6.39,1.91,2361.0,6.46,True,4.8,6.79,1.05,2019-06-20 00:00:00,2025-12-06 00:00:00,13,13
1265,gt3,L,L,71.2628336515945,-156.2767034893647,12,-23.0,100.0,-3.55,-7.25,0.33,24.1,7.3,2361.0,6.46,True,4.8,6.79,1.05,2019-06-20 00:00:00,2025-12-06 00:00:00,12,12
1265,gt3,R,R,71.26297526442593,-156.27912187607964,15,104.0,135.0,16.15,-1.0,0.0,44.96,12.54,2361.0,6.46,True,4.8,6.79,1.05,2019-06-20 00:00:00,2025-12-06 00:00:00,15,15
1287,gt2,L,L,69.96728567071342,-144.62776702597233,15,-28.0,83.0,-4.15,-1.65,0.03,20.33,5.6,2452.0,6.71,True,4.8,6.79,1.01,2019-03-22 00:00:00,2025-12-07 00:00:00,15,15
1287,gt2,R,R,69.96741037085735,-144.6254991585497,16,-50.0,159.0,-7.45,-2.2,0.01,47.24,12.86,2452.0,6.71,True,4.8,6.79,1.01,2019-03-22 00:00:00,2025-12-07 00:00:00,16,16
0129,gt1,L,L,70.8799422489057,-153.8936687442613,19,48.0,293.0,7.4,-17.33,0.18,78.06,19.03,2362.0,6.47,True,4.8,6.79,1.05,2019-01-05 00:00:00,2025-06-24 00:00:00,19,19
0129,gt1,R,R,70.88010731944375,-153.890677818386,18,118.0,226.0,18.25,-6.51,0.06,54.41,13.34,2362.0,6.47,True,4.8,6.79,1.05,2019-01-05 00:00:00,2025-06-24 00:00:00,18,18
0129,gt2,L,L,70.88439036741337,-153.80625939278323,15,-217.0,217.0,-33.58,-17.91,0.61,32.44,8.56,2362.0,6.47,True,4.8,6.79,1.05,2019-01-05 00:00:00,2025-06-24 00:00:00,15,15
0129,gt2,R,R,70.88455950886528,-153.8034149929064,15,-166.0,168.0,-25.73,-15.88,0.58,30.54,8.12,2362.0,6.47,True,4.8,6.79,1.05,2019-01-05 00:00:00,2025-06-24 00:00:00,15,15
0129,gt3,L,L,70.88639068088362,-153.71771933693782,16,-332.0,382.0,-51.4,-22.5,0.18,106.92,27.78,2362.0,6.47,True,4.8,6.79,1.05,2019-01-05 00:00:00,2025-06-24 00:00:00,16,16
0129,gt3,R,R,70.8865705625429,-153.71504584857016,8,-122.0,122.0,-24.49,-19.91,0.88,13.32,7.38,1817.0,4.97,True,4.8,6.79,1.36,2019-04-06 00:00:00,2024-03-27 00:00:00,8,8
1295,gt1,L,L,69.99067182073789,-145.17469127648656,8,14.0,105.0,3.59,9.71,0.2,30.17,19.36,1453.0,3.98,True,4.8,6.79,1.71,2021-03-18 00:00:00,2025-03-10 00:00:00,8,8
1295,gt1,R,R,69.99058922631862,-145.1743646342993,10,-9.0,197.0,-1.74,-2.39,0.01,53.55,27.38,1907.0,5.22,True,4.8,6.79,1.3,2019-12-20 00:00:00,2025-03-10 00:00:00,10,10
1295,gt2,L,L,70.02621244758524,-145.24472969673417,9,58.0,566.0,9.65,4.07,0.0,164.0,76.21,2179.0,5.97,True,4.8,6.79,1.14,2019-03-23 00:00:00,2025-03-10 00:00:00,9,9
