track_id,gt_family,cluster_id,side,center_lat,center_lon,n_beams,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ClusterTemporalSpanYears,ValidRegression,U_position_m,U_NSM_m,U_EPR_myr,first_date,last_date,initial_cycles,used_cycles
1219,gt1,R,R,70.49354418834812,-149.9147483677321,12,2.0,13.0,0.49,1.14,0.35,2.98,1.1,1817.0,4.97,True,4.8,6.79,1.36,2019-12-15 00:00:00,2024-12-05 00:00:00,12,12
1219,gt2,L,L,70.45969023429167,-150.0127136941471,12,-5.0,21.0,-0.83,-1.67,0.17,7.43,2.61,2180.0,5.97,True,4.8,6.79,1.14,2019-12-15 00:00:00,2025-12-03 00:00:00,12,12
1219,gt2,R,R,70.45980571885603,-150.01510919864955,12,13.0,46.0,2.58,0.19,0.0,12.2,4.32,1908.0,5.22,True,4.8,6.79,1.3,2019-09-15 00:00:00,2024-12-05 00:00:00,12,12
1226,gt2,L,L,70.0738204383738,-143.88708518171998,10,30.0,118.0,5.7,2.47,0.01,36.91,17.2,1907.0,5.22,True,4.8,6.79,1.3,2019-12-16 00:00:00,2025-03-06 00:00:00,10,10
1226,gt2,R,R,70.07390692017567,-143.88506378074314,9,-104.0,104.0,-18.26,-9.83,0.31,31.19,13.06,2089.0,5.72,True,4.8,6.79,1.19,2019-12-16 00:00:00,2025-09-04 00:00:00,9,9
1234,gt1,L,L,70.0298290347913,-144.3786362987929,10,9.0,45.0,1.39,-0.45,0.0,14.16,5.46,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,10,10
1234,gt1,R,R,70.02992511366006,-144.3809123058956,8,-2.0,31.0,-0.27,0.58,0.01,12.31,5.34,2180.0,5.97,True,4.8,6.79,1.14,2019-12-16 00:00:00,2025-12-04 00:00:00,8,8
1234,gt2,L,L,70.0169457916226,-144.4691280017645,8,3.0,32.0,0.51,-1.57,0.07,11.27,5.51,2180.0,5.97,True,4.8,6.79,1.14,2019-12-16 00:00:00,2025-12-04 00:00:00,8,8
1234,gt2,R,R,70.01704275688824,-144.47141241804857,8,-2.0,17.0,-0.39,-1.19,0.22,5.07,2.2,2180.0,5.97,True,4.8,6.79,1.14,2019-12-16 00:00:00,2025-12-04 00:00:00,8,8
1242,gt1,L,L,70.26717246897499,-161.95871603038455,10,8.0,33.0,1.29,2.5,0.24,10.08,3.6,2361.0,6.46,True,4.8,6.79,1.05,2019-06-18 00:00:00,2025-12-04 00:00:00,10,10
