track_id,bias_tolerance,gt_family,cluster_id,cluster_width_m,n_beams,reference_beam_id,reference_date,coast_slope_sign,center_lat,center_lon,elev_avg,first_date,last_date,TemporalSpan_days,ClusterTemporalSpanYears,initial_cycles,used_cycles,used_cycles_cluster,angle_mean_deg,angle_median_deg,angle_mode_deg,angle_used_mean_deg,angle_used_median_deg,max_abs_gie,mean_abs_gie,U_position_m,U_NSM_measured_m,U_EPR_measured_myr,U_NSM_corrected_m,U_EPR_corrected_myr,NSM_measured,SCE_measured,EPR_measured,LRR_measured,LR2_measured,LSE_measured,LCI_measured,ValidRegression_measured,NSM_corrected,SCE_corrected,EPR_corrected,LRR_corrected,LR2_corrected,LSE_corrected,LCI_corrected,ValidRegression_corrected,track_id_str,n_cycles_removed,flagged_dates,NSM_flagged,EPR_flagged,LRR_flagged,LR2_flagged,LSE_flagged,LCI_flagged,flag_status
99,0.6,gt1,5,9.09,5,sliderule_0099_gt1l_cyc03_20190404,2019-04-04 00:00:00,-1,68.9157581281383,-164.59059625253377,11.74080330686084,2019-04-04 00:00:00,2025-12-20 00:00:00,2452.0,6.71,24,24,5,79.1,79.08,77.5,79.1,79.08,1.913,0.804,4.8,6.79,1.01,6.79,1.01,-13.0,13.0,-1.97,-1.94,0.73,3.23,2.15,True,-13.0,13.0,-1.99,-1.99,0.69,3.66,2.44,True,0099,2,2022-12-27;2023-03-27,-13.0,-1.94,-1.94,1.0,0.21,0.56,flagged
129,0.5,gt1,1,91.22,11,sliderule_0129_gt1r_cyc03_20190406,2019-04-06 00:00:00,1,70.88028912252972,-153.88643997884344,3.2001884774905736,2019-04-06 00:00:00,2025-06-24 00:00:00,2271.0,6.22,26,24,11,78.94,78.97,77.5,78.938,78.97,14.711,4.537,4.8,6.79,1.09,6.79,1.09,-108.0,110.0,-17.42,-15.69,0.82,16.22,5.48,True,-109.0,117.0,-17.5,-15.88,0.86,14.41,4.87,True,0129,3,2021-07-02;2019-04-06;2024-12-24,-72.0,-13.16,-14.38,0.98,4.1,1.92,flagged
129,0.5,gt1,2,133.08,6,sliderule_0129_gt1l_cyc08_20200703,2020-07-03 00:00:00,1,70.88008796669625,-153.8915199863746,3.0192545604862495,2020-07-03 00:00:00,2023-03-29 00:00:00,999.0,2.74,26,24,6,87.33,87.32,87.5,87.328,87.325,5.823,1.332,4.8,6.79,2.48,6.79,2.48,-24.0,36.0,-8.72,-8.72,0.63,8.02,9.23,True,-24.0,35.0,-8.66,-9.5,0.76,6.38,7.34,True,0129,0,,-23.0,-8.41,-9.41,0.75,6.53,7.51,no_outlier_detected
129,0.5,gt1,4,133.63,13,sliderule_0129_gt1l_cyc03_20190406,2019-04-06 00:00:00,1,70.8802207698538,-153.88830587346325,3.091227042333629,2019-04-06 00:00:00,2025-06-24 00:00:00,2271.0,6.22,26,24,13,83.7,87.1,87.5,83.7,87.1,23.287,7.611,4.8,6.79,1.09,6.79,1.09,-98.0,102.0,-15.83,-14.06,0.82,13.84,4.35,True,-116.0,116.0,-18.68,-15.02,0.81,15.52,4.88,True,0129,3,2021-07-02;2019-04-06;2023-03-29,-79.0,-14.44,-14.76,0.97,5.77,2.17,flagged
129,0.5,gt2,5,32.98,4,sliderule_0129_gt2r_cyc06_20200104,2020-01-04 00:00:00,-1,70.88471703868599,-153.79819878780046,2.5759470965168356,2020-01-04 00:00:00,2024-03-27 00:00:00,1544.0,4.23,24,22,4,82.61,82.6,82.5,82.615,82.6,4.922,2.18,4.8,6.79,1.61,6.79,1.61,-52.0,68.0,-12.35,-14.44,0.92,10.07,12.88,True,-47.0,63.0,-11.18,-13.27,0.91,9.75,12.48,True,0129,1,2020-04-03,-47.0,-11.12,-11.54,0.98,5.4,22.32,flagged
129,0.5,gt2,6,83.92,8,sliderule_0129_gt2r_cyc03_20190406,2019-04-06 00:00:00,-1,70.88462839324657,-153.80056756843408,2.886634709884819,2019-04-06 00:00:00,2024-12-24 00:00:00,2089.0,5.72,24,22,8,83.95,83.95,82.5,83.945,83.95,9.1,3.142,4.8,6.79,1.19,6.79,1.19,-101.0,101.0,-17.67,-14.86,0.88,11.76,5.44,True,-103.0,103.0,-17.92,-14.95,0.91,10.25,4.75,True,0129,2,2023-03-29;2019-04-06,-69.0,-13.88,-13.31,0.97,4.51,3.0,flagged
129,0.5,gt2,7,134.79,6,sliderule_0129_gt2l_cyc08_20200703,2020-07-03 00:00:00,-1,70.88450252532772,-153.80377199348325,2.7218357282522216,2020-07-03 00:00:00,2024-12-24 00:00:00,1635.0,4.48,24,22,6,83.98,83.95,82.5,83.98,83.945,14.694,3.132,4.8,6.79,1.52,6.79,1.52,-66.0,66.0,-14.84,-15.24,0.97,5.17,3.55,True,-67.0,67.0,-14.99,-13.83,0.92,8.01,5.49,True,0129,0,,-67.0,-14.97,-13.86,0.92,8.14,5.58,no_outlier_detected
129,0.5,gt2,9,130.5,11,sliderule_0129_gt2l_cyc03_20190406,2019-04-06 00:00:00,-1,70.88464360622163,-153.80042886042418,2.7581750427114184,2019-04-06 00:00:00,2024-12-24 00:00:00,2089.0,5.72,24,22,11,83.99,83.95,82.5,83.988,83.95,12.139,2.864,4.8,6.79,1.19,6.79,1.19,-105.0,105.0,-18.37,-14.84,0.9,10.5,3.77,True,-106.0,106.0,-18.53,-15.49,0.92,9.32,3.34,True,0129,1,2019-04-06,-66.0,-13.27,-14.09,0.92,7.99,3.32,flagged
129,0.6,gt3,10,29.71,4,sliderule_0129_gt3r_cyc06_20200104,2020-01-04 00:00:00,-1,70.88667023020572,-153.70945771641487,3.728827332188531,2020-01-04 00:00:00,2024-03-27 00:00:00,1544.0,4.23,23,21,4,83.58,83.54,82.5,83.582,83.545,3.095,1.11,4.8,6.79,1.61,6.79,1.61,-69.0,69.0,-16.42,-16.57,0.99,3.27,4.19,True,-68.0,68.0,-16.15,-16.32,0.98,5.02,6.42,True,0129,1,2021-04-02,-69.0,-16.32,-16.33,1.0,0.02,0.06,flagged
129,0.6,gt3,11,11.3,3,sliderule_0129_gt3r_cyc03_20190406,2019-04-06 00:00:00,-1,70.8866213098458,-153.7107583409669,2.303671593753989,2019-04-06 00:00:00,2022-12-29 00:00:00,1363.0,3.73,23,21,3,83.48,83.46,82.5,83.477,83.46,1.168,0.443,4.8,6.79,1.82,6.79,1.82,-92.0,92.0,-24.74,-26.0,0.97,12.69,59.02,True,-94.0,94.0,-25.06,-26.23,0.97,11.89,55.29,True,0129,0,,-94.0,-25.06,-26.23,0.97,11.89,55.29,insufficient_data_for_flagging
137,0.3,gt3,7,129.52,15,sliderule_0137_gt3l_cyc03_20190407,2019-04-07 00:00:00,1,70.88399104830383,-153.8323654876771,3.114184227473343,2019-04-07 00:00:00,2025-03-25 00:00:00,2179.0,5.97,26,26,15,74.13,72.4,72.5,74.135,72.4,29.432,7.789,4.8,6.79,1.14,6.79,1.14,-108.0,108.0,-18.02,-12.8,0.81,11.59,3.69,True,-83.0,87.0,-13.94,-12.51,0.9,7.93,2.52,True,0137,0,,-83.0,-13.91,-12.51,0.9,8.05,2.56,no_outlier_detected
137,0.3,gt3,8,115.01,15,sliderule_0137_gt3r_cyc03_20190407,2019-04-07 00:00:00,1,70.88401337357135,-153.83312397389983,3.127035858177444,2019-04-07 00:00:00,2025-03-25 00:00:00,2179.0,5.97,26,26,15,72.48,72.35,72.5,72.479,72.35,26.214,4.563,4.8,6.79,1.14,6.79,1.14,-84.0,84.0,-14.05,-12.04,0.84,9.89,3.14,True,-89.0,90.0,-14.87,-12.67,0.9,7.74,2.46,True,0137,3,2019-04-07;2023-03-30;2023-06-29,-63.0,-12.07,-12.19,0.95,5.26,1.99,flagged
