track_id,ClusterSize,bias_tolerance,gt_family,cluster_id,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ValidRegression,angle_deg,center_lat,center_lon
0129,18,0.25,gt2,52,-96.24,-96.24,-18.43,-17.37,0.95,9.66,7.51,1907.0,True,83.97,70.88454950965843,-153.7994254382764
0129,18,0.25,gt2,55,-71.99,-71.99,-18.1,-16.87,0.9,16.3,71.96,1453.0,True,83.9,70.88455737344225,-153.7992398078017
0129,18,0.25,gt2,60,,,,,,,,,False,83.93,70.88442105060226,-153.80247764041673
0129,18,0.25,gt2,45,-35.24,-35.24,-11.81,,,,,1090.0,False,83.94,70.88445957182016,-153.8015046413042
0129,18,0.25,gt2,65,-45.67,-45.67,-15.3,,,,,1090.0,False,81.61,70.88453107007933,-153.79771650560144
0129,18,0.25,gt2,41,-40.11,-40.11,-13.44,,,,,1090.0,False,83.88,70.88451015608415,-153.80035879701106
0129,18,0.25,gt2,44,,,,,,,,,False,83.88,70.88431965272848,-153.80488233489237
0129,18,0.25,gt2,53,1.83,-1.83,,,,,,90.0,False,84.01,70.88458354773184,-153.79861815891496
0129,18,0.25,gt3,87,-83.6,-83.6,-30.57,-30.13,0.92,16.77,110.07,999.0,True,83.47,70.88664407059962,-153.71048799921311
0129,18,0.25,gt3,94,-41.15,-41.15,-13.79,,,,,1090.0,False,83.67,70.88665957606277,-153.71011532280068
0129,18,0.25,gt3,86,-39.93,-41.09,-12.36,-12.96,0.99,3.09,15.42,1180.0,True,83.7,70.88666801898461,-153.70991212352953
0129,18,0.25,gt3,71,-91.13,-91.13,-24.42,-23.48,0.86,18.9,28.6,1363.0,True,87.3,70.8865350172282,-153.71310638579806
0129,18,0.25,gt3,82,-5.42,-5.42,-2.42,,,,,817.0,False,87.26,70.88649891923335,-153.71397305767115
0129,18,0.25,gt3,70,-42.5,-42.5,-14.24,,,,,1090.0,False,87.31,70.88655458294423,-153.71263624866455
0129,18,0.25,gt3,81,-67.14,-67.14,-15.88,,,,,1544.0,False,87.49,70.88657862952938,-153.71205809266226
0129,18,0.25,gt3,80,-34.66,-34.66,-27.88,,,,,454.0,False,88.92,70.88641098562599,-153.71608564221054
0129,18,0.5,gt1,25,-82.98,-90.66,-16.68,-16.39,0.92,8.98,5.48,1817.0,True,78.94,70.8803654829799,-153.88756255434885
0129,18,0.5,gt1,14,-95.54,-95.54,-20.22,-18.02,0.9,13.13,10.79,1726.0,True,87.88,70.88027490658638,-153.88969623784678
0129,18,0.5,gt1,29,-90.66,-90.66,-19.19,-16.53,0.91,10.39,7.42,1726.0,True,78.72,70.88037265286376,-153.88739417920073
0129,18,0.5,gt1,27,-97.73,-97.73,-18.72,-17.05,0.95,10.18,7.08,1907.0,True,78.96,70.88038288501423,-153.88715440712105
0129,18,0.5,gt1,3,-71.02,-71.02,-16.8,,,,,1544.0,False,87.06,70.88029006551535,-153.88933067658752
